День Д	вавызалывзазыщвоазщоывазщоывоаывз111111111111	2020-08-01T21:47:42+0000	drama,family	2017	10	previewVideoLinks	videoLink	3 паучка,Еще одни пацаны с района,ДиКаприо,ВдВешник и другие	Архитектор	90	posterLink	backgroundImageLink	green
Время первых	вавызалывзазыщвоазщоывазщоывоаывз111111111111	2015-09-16T21:47:42+0000	drama,family	2018	8.7	previewVideoLinks	videoLink	Еще одни пацаны с района,ДиКаприо	Джони Кардано	180	posterLink	backgroundImageLink	yellow
Человек-паук	Ахвлзпывальылвлхэвл1111111111111111111111111111111111	2015-09-16T21:47:42+0000	family	2019	10	previewVideoLink	videoLink	Еще одни пацаны с района,ДиКаприо,ВдВешник и другие	Джони Кардано	190	posterLink	backgroundImageLink	yellow
Время первых	вввввввввввввввввввввввв111111111111111111111	2023-02-01T21:47:42+0000	scifi,crime,drama	2018	10	previewVideoLinks	videoLink	ДиКаприо,ВдВешник и другие	Архитектор	170	posterLink	backgroundImageLink	yellow
Человек-паук	вввввввввввввввввввввввв111111111111111111111	2020-08-01T21:47:42+0000	drama,family	2018	10	previewVideoLinks	videoLink	ДиКаприо,ВдВешник и другие	Джони Кардано	210	posterLink	backgroundImageLink	yellow
Человек-паук	аааааааааааааааааааыыу1111111111111111	2023-02-01T21:47:42+0000	crime,drama	2017	8	previewVideoLink	videoLink	ДиКаприо,ВдВешник и другие	МакГрегор	90	posterLink	backgroundImageLink	yellow
Время первых	аааааааааааааааааааыыу1111111111111111	2020-08-01T21:47:42+0000	drama,family	2018	10	previewVideoLinks	videoLink	Еще одни пацаны с района,ДиКаприо,ВдВешник и другие	Гай Ричи	210	posterLink	backgroundImageLink	blue
Джентельмен	вавызалывзазыщвоазщоывазщоывоаывз111111111111	2020-08-01T21:47:42+0000	drama,family	2020	9	previewVideoLinks	videoLink	Еще одни пацаны с района,ДиКаприо,ВдВешник и другие	Джони Кардано	180	posterLink	backgroundImageLink	blue
Начало	Ахвлзпывальылвлхэвл1111111111111111111111111111111111	2023-02-01T21:47:42+0000	scifi,crime	2016	9	previewVideoLinks	videoLink	3 паучка,Еще одни пацаны с района,ДиКаприо	МакГрегор	190	posterLink	backgroundImageLink	orange
Джентельмен	Ахвлзпывальылвлхэвл1111111111111111111111111111111111	2015-09-16T21:47:42+0000	drama,family	2018	8.7	previewVideoLinks	videoLink	Еще одни пацаны с района,ДиКаприо	Какой то русский	180	posterLink	backgroundImageLink	yellow
